Guayaquil,Centro Comercial Río Centro Ceibos (Puertas),-2.176690,-79.943332,Centro Comercial Río Centro Ceibos (Puertas)
Guayaquil,Víctor Emilio Estrada y las Monjas: Semáforo del Manantial,-2.170031,-79.909675,Víctor Emilio Estrada y las Monjas: Semáforo del Manantial
Cuenca,Camino a Baños y Av de las Américas,-2.923661,-79.039549,Camino a Baños y Av. de las Américas
Guayaquil,Semáforo Mc Donalds Ceibos: Dr. José de Rubira Ramos y Dr. Leopoldo Carrera Calvo,-2.172847,-79.940365,Semáforo Mc Donalds Ceibos: Dr. José de Rubira Ramos y Dr. Leopoldo Carrera Calvo
Quito,Av. Amazonas y Av. República,-0.187571,-78.487691,Av. Amazonas y Av. República
Guayaquil,Puerta IMAX - Malecon 2000: Malecón Simón Bolívar y Loja,-2.185644,-79.876934,Puerta IMAX - Malecón 2000: Malecón Simón Bolívar y Loja
Cuenca,Av. 24 de Mayo y Hernán Malo,-2.917994,-79.001269,Av. 24 de Mayo y Hernán Malo
Ambato,Av. Atahualpa y Víctor Hugo,-1.264384,-78.627843,Av. Atahualpa y Víctor Hugo
Ambato,(Av. Cevallos) Juan León Mera y Montalvo,-1.242573,-78.627823,(Av. Cevallos) Juan León Mera y Montalvo
Ambato,Lalama y Martínez,-1.241454,-78.626708,Lalama y Martínez
Ambato,Montalvo y Simón Bolívar,-1.241593,-78.629217,Montalvo y Simón Bolívar
Ambato,Vía a Quisapincha,-1.241593,-78.629217,Vía a Quisapincha
Cuenca,Gran Colombia y Unidad Nacional,-2.891989,-79.018754,Gran Colombia y Unidad Nacional
Cuenca,Benigno Malo y  Calle Larga,-2.900988,-79.005561,Benigno Malo y  Calle Larga
Cuenca,Av. de las Américas y Av. Héroes de Verdeloma,-2.887736,-79.010098,Av. de las Américas y Av. Héroes de Verdeloma
Guayaquil,"Semáforo frente al CC. Village Plaza: Av. La Puntilla, Samborondón",-2.148730,-79.869509,"Semáforo frente al CC. Village Plaza: Av. La Puntilla, Samborondón"
Guayaquil,Calle frente al Mc. Donalds Samborondón: Vía Samborondón,-2.143869,-79.863687,Calle frente al Mc. Donalds Samborondón: Vía Samborondón
Guayaquil,Centro Comercial Bocca,-2.051116,-79.890656,Centro Comercial Bocca
Guayaquil,Centro Comercial Plaza Lagos,-2.097352,-79.874039,Centro Comercial Plaza Lagos
Quito,Calle García Moreno y Eugenio Espejo,-0.220153,-78.512747,Calle García Moreno y Eugenio Espejo
Quito,Calle Venezuela y Chile,-0.220049,-78.511511,Calle Venezuela y Chile
Quito,Panameriana Norte y Av. Simón Bolívar,-0.109410,-78.458286,Panameriana Norte y Av. Simón Bolívar
Guayaquil,Semáforos frente Piazza Francisco de Orellana,-2.164209,-79.896753,Semáforos frente Piazza Francisco de Orellana
Guayaquil,Calle Principal Entre Ríos: Vía Samborondón,-2.148730,-79.869509,Calle Principal Entre Ríos: Vía Samborondón
Guayaquil,"Semáforo frente al CC. Village Plaza y al lado del cc: Av. La Puntilla, Samborondón",-2.148730,-79.869509,"Semáforo frente al CC. Village Plaza y al lado del cc: Av. La Puntilla, Samborondón"
Guayaquil,"Semáforo frente a la Cdla. Laguna Dorada: Vía Samborondón, frente al CC Río Centro",-2.141923,-79.863782,"Semáforo frente a la Cdla. Laguna Dorada: Vía Samborondón, frente al CC Río Centro"
Guayaquil,Centro Comercial Río Centro Samborondón,-2.051116,-79.890656,Centro Comercial Río Centro Samborondón
Guayaquil,"Redondel al lado del cc: Av. La Puntilla, Samborondón",-2.148730,-79.869509,"Redondel al lado del cc: Av. La Puntilla, Samborondón"
Ambato,(Av. Cevallos) Yahuira Y Francisco Flor,-1.245428,-78.630768,(Av. Cevallos) Yahuira Y Francisco Flor
Quito,República del Salvador y Moscú.,-0.184378,-78.480757,República del Salvador y Moscú
Quito,Parque la Carolina.,-0.184145,-78.485127,Parque la Carolina
Quito,Parque Bicentario.,-0.140822,-78.487874,Parque Bicentario.
